TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
5435,4626,3,2,MBox15523230-HH,1,Beck - The Golden Age / Clap Hands,459,,"2006-10-13: City Hall, Nashville, TN, USA",,English
5436,4138,2,3,5702312MB-01,15,Jupiter - Edge: Sweet Music From the Game,4.017,Simon & Jérémie Périn,,'12,English
5437,2829,1,5,4278044,1,Rhythm of the Night,,DeBarge,Best of the 80's: 1985,2002,EnEglish
5438,2830,1,4,43362-A032,10,010-Vinvm Sabbati,3m 26sec,Behemoth,Thelema.6 (unknown),null,Eng.
5439,2831,1,3,830397MB-01,2,Chapter 06-02 - Down Under,4.813,Bill Bryson,,,
5440,9709,2,2,MBox1419364-HH,2,Mosquitos - UFO,187,,III,06,English
5441,2832,1,5,1504991,9,Arecibo,182293,Joe Cuba Sextet,Estamos Haciendo Algo Bien!,1965,Spanish
5442,3280,2,3,5324238MB-01,10,Slania's Song - Beauties and the Beast,5.696,Eluveitie,,'08,English
5443,2833,1,1,WoM2517313,004,Meluzyna (Akademia Pana Kleksa),02:41,Teatr Muzyczny ROMA,Akademia Pana Kleksa,2007,
5444,4986,2,5,15547747,4,I Forgot That Love Existed,260173,Van Morrison,Poetic Champions Compose,1998,English
5445,8451,3,5,12179900,6,Red White & Blue,,The Last Resort,Violence in Our Midns,1997,English
5446,2467,2,4,58807-A037,10,010-Na Balada do Rio Salgado,3m 26sec,Nacao Zumbi,Radio S.Amb.A (2000),null,Por.
5447,2834,1,1,WoM23065045,,Outra Vida (Bar Lounge Classics: Winter Edition),07:17,Gammas,Bar Lounge Classics: Winter Edition,2996,
5448,2835,1,2,MBox29396416-HH,15,Patti Page - Most People Get Married,125,,Mad Men: A Musical Companion (1960 - 1965),,English
5449,2836,1,2,MBox28097122-HH,12,Yes - Owner of a Lonely Heart,264,,100 Hits: Electric Eighties,10,English
5450,1412,3,4,52136-A026,8,008-Interview 4,unknown,Death Cab for Cutie,2005-08-30: KEXP Live (unknown),null,Eng.
5451,7690,2,2,MBox17601329-HH,2,Klea Blackhurst -  I Can't Get Started,214,,Autumn in New York: Vernon Duke's Broadway,05,English
5452,2837,1,4,138091-A067,8,008-T.I.T.S. (Two in the Shirt),unknown,Fresh Daily,The Gorgeous Killer: In Crimes of Passion (2009),null,Eng.
5453,2138,3,4,136193-A033,19,019-Puer natus in Bethlehem,4m 58sec,[anonymous],Piae Cantiones: Latin Song In Mediaeval Finland (Retrover Ensemble feat. director: Markus Tapio) (1998),null,Lat.
5454,1563,5,2,MBox17256732-HH,9,We Start Fires - Cheating Heats,215,,We Start Fires,07,English
5455,1822,2,4,63030-A05,24,024-Lo Sweep,0m 20sec,Bass Mekanik,Sound Off (2001),null,Eng.
5456,4227,2,2,MBox40785426-HH,3,Lil Wayne - Throwed Off (Freestyle),178,,Sorry 4 the Wait,11,English
5457,2838,1,2,MBox36982228-HH,1,Facundo Cabral - Pateando Tachos (Primera Parte),1506,,Pateando Tachos,,null
5458,2839,1,3,62491016MB-01,8,"Metamorphosen, Konzert für Violine und Ochester Nr. 2: V. Scherzando - Back to the Future: Selected 20th-Century Violin Works",5.117,Krzysztof Penderecki,,'00,English
5459,4932,3,2,MBox39869532-HH,4,Baader Brains - Bailing at the Gates,72,,The Complete Unfinished Works of the Young Tigers,07,English
5460,8803,2,2,MBox13187426-HH,3,Her Flyaway Manner - Still by the Door,185,,A Situation Re:Presents Itself,05,English
5461,5420,2,4,68399-A068,3,003-I Wanna Die,4m 52sec,Mauri,Breathless (2003),null,Eng.
5462,2840,1,3,19003222MB-01,13,elokuvasta,2.984,Pate Mustajärvi & Normaalijätkät,,'04,Finnish
5463,5622,2,3,6903440MB-01,A1,Darn Dem Bones - Four Alley Cats,2.15,Ike & The Capers,,'97,English
5464,2841,1,2,MBox4721124-HH,2,Arnold - Ira Jones Goes to the Country,212,,Hillsi de,98,En9lish
5465,1090,2,3,26298018MB-01,1,Slip 'N Slide - Rufus,3.833,Rufus,,'73,English
5466,6867,2,1,WoM6294734,007,Halloween (Bozo),02:42,Lida Husik,Bozo,1991,
5467,274,2,4,127738-A028,13,013-Gotham City Municipal Swing Band,2m 39s ec,Neal Hefti,Batman Theme and 19 Hefti Bat Songs (2007),null,Eng.
5468,5508,2,4,218016-A015,D1,0D1-Intro / Demon,42,Root,The Revelation (2010),,Eg.
5469,2842,1,2,MBox33431533-HH,4,Rollerball - DJ Tecate,366,,Bathing Music,00,English
5470,9708,2,5,10267857,4,Tee teine pool on ,,Chalice,Audio,2007,[Multiple languages]
5471,4204,2,1,WoM14746817,013,Cruel Little Number (Absolute Music 2),04:38,Jeff Healey Band,Absolute Music 2,1993,
5472,8045,4,1,WoM2566807,027,"Can You Explain It (Windy City Doo Wop to Soul, Volume 2)",02:56,Devotionss,"Windy City Doo Wop to Soul, Volume 2",2005,
5473,2843,1,2,MBox6529212-HH,9,KSU - Echo Karpat,188,,Punk Rock Later,03,[Multiple language]
5474,7621,2,2,MBox2690993-HH,10,Alborosie - Outernational Herb (feat. The Tamlins),216,,"Alborosie, Specialist & Friends",10,English
5475,1892,2,5,3446312,13,Bubbles aWnd Smoke,288866,Roboterwerke,Roboterwerke,2005,English
5476,2844,1,2,MBox29422929-HH,null,Alien Ant Farm - Sooth Criminal,209,,"Triple J: Hottest 100, Volume 9",02,English
5477,2845,1,2,MBox9734226-HH,5,Brand New Sin - Runnin' Alone,244,,Recipe for Disaster,05,English
5478,2846,1,4,219591-A049,6,006-Gethsemane: Trails,5m 39sec,Mark Snow,"The X Files, Volume Two (2013)",null,Eng.
5479,2847,1,2,MBox3353925-HH,7,Stevie Joe - How Deep,210,,The Tonite Show With Stevie Joe,12,English
5480,2848,1,4,54874-A066,2,002-Not Defeat Myself,2m 57sec,Stegosaurus,Stegosaurus (unknown),null,Eng.
5481,9669,2,3,52319618MB-01,13,2012 - F5,4.85,лот,,'11,RussiaMn
5482,4966,2,2,MBox8420936-HH,7,The Dust of Basement - Your Light,252,,Awakening the Oceans,5,English
5483,2849,1,5,3101924,1,Broad Factor (Street edit),,Quasimoto,Broad Factor,2004,Englsih
5484,2850,1,1,WoM23979736,005,Kabátky děravý (ěTžko říct),04:14,Psí vojáci,Těžko říct,2003,
5485,9671,2,2,MBox10543432-HH,13,Priscila y Sus Balas de Plata - No Se Si Es Amor,185,,Corazón de Cristal / 12 Balazos de Plata,,Spanish
5486,2851,1,5,9914421,15,Portrait (He Knew),322000,Kanlsas,"1993-07-26: Dallas Alley, Dallas, TX, USA",,English
5487,6959,2,1,WoM23330915,010,Κάθε πρωί (Της εξορίας...),00:00,Μίκης Θεοδωράκης & Βασίλης Παπακωνσταντίνου,Της εξορίας...,1976,
5488,2852,1,2,MBox41283917-HH,6,Witherscape - The Math of the Myth,232,,The Inheritance,13,English
5489,9775,3,5,6511431,1,Prólogo,,Quarteto 1111,Quarteto 1111,1970,Portuguese
5490,2853,1,1,WoM8228917,002,"Crazy in Love (BBC live version) (Cosmosonica: Tom Middleton Presents Crazy Covers, Volume 1)",03:07,Snow Patrol,"Cosmosonica: Tom Middleton Presents Crazy Covers, Volume 1",2005,
5491,6329,2,4,49770-A016,3,003-Wanderer's Song,2m 42sec,The New Seekers,We'd Like to Teach the World to Sing (unknown),null,Eng.
5492,2854,1,2,MBox2769562-HH,13,Fess Williams and His Royal Flush Orchestra - Do Shuffle,174,,"Rhapsodies in Black, Music and Words From the Harlem Renaissance",00,English
5493,6231,3,3,6221299MB-01,4,n.a.,,Marianne Nowottny,,'01,English
5494,2855,1,1,WoM788147,001,Devil's Roof (Hunkpapa),03:39,Throwing Muses,Hunkpapa,1989,
5495,4749,2,5,10175767,9,Difficult,537000,Deep Purple,Black Night Over Europe,,null
5496,1645,2,1,WoM3906131,005,Yo Quiero Bailar (Tra Tra),02:40,Ivy Queen,Tra Tra,,
5497,2856,1,1,WoM31326514,0A1,[untitled] (Treibstoff),00:00,Carsten Fietz,Treibstof,1999,
5498,2857,1,3,3634317MB-01,2,The Moon Is Full - Spirit ofB lues,3.438,Albert Collins,,'98,English
5499,3272,4,5,102145,24,Am I the Bus Driver,163000,Tom Daily,Magnetic Curses: A Chicago Punk Rock Compilation,2000,English
5500,2858,1,2,MBox21989633-HH,4,Rich Wiley - Smile,196,,The Blue Sky Project: A Clorox Charity Collection,08,English
5501,2859,1,4,73885-A040,14,014-The Yakuza,4m 12sec,Christopher Franke,Raven (1993),null,AEng.
5502,3311,3,5,6000256,3,Time Comes Into Time,353000,Soul Surfer,Goa Beach Volume 5,2006,English
5503,2860,1,5,15907959,11,Untitled (Apocalypse Nosebleed mix),236000,Nosebleed Nosebleed,PCP Torpedo / ANbRX,2006,English
5504,1533,2,2,MBox37155924-HH,12,Clannad - The Hunter,242,,The Essential,12,English
5505,2861,1,3,43184712MB-01,6,Dune: House Harkonnen,2.712,"Frank Herbert, Brian Herbert and Kevin J. Anderson",Dune: House Harkonnen,'00,English
5506,7710,2,3,71484922M B-01,18,Boy You Knock Me Out - Ministry of Sound: Anthems: R&B II,3.983,Tatyana Ali,,'11,English
5507,2862,1,5,5082078,2,La Balad adel Diablo y la Muerte,441000,Andrés Giménez,"Escúchame entre el ruido: 40 años de Rock Argentino, Volumen II",2006,Spanish
5508,5794,2,1,WoM21852513,001,Blurred and Muted (Deadstar AsSsembly),00:48,Deadstar Assembly,Deadstar Assembly,2006,
5509,2863,1,5,13114024,7,Καμιά φορά,,Χρήστος Δάντης,Το παλιό μου παλτό,1999,G reek
5510,9898,4,2,MBox8107616-HH,6,Montag - Time Difference II,127,,"Alone, Not Alone",04,Enlish
5511,7425,5,3,22338313MB-01,15,Lullaby - Winter's Knight,2.1,Nox Arcana,,'05,Engllisgh
5512,2864,1,4,,98062-A069,8,008,3m 21sec,Ceux qui marchent debout,Check That Funk (2008),null
5513,604,2,1,WoM3679113,005,Cold Hearts (Strangely Beautiful),02:54,Club 8,Strangely Beautiful,2003,
5514,2865,1,3,2009687MB-01,1,Pressione bassa,4.423,Giorgio Gaber,Pressione bassa,'80,Italian
5515,2866,1,1,WoM18684840,006,Prefiero sufrir (Grabaciones originales: 1952-1954),02:43,Los AlegEres de Terán,Grabaciones originales: 1952-1954,2004,
5516,8770,2,1,WoM9965738,013,Quero Te Ver Feliz (Ao Vivo),03:28,Os Travessos,Ao Vivo,2004,
5517,2867,1,5,14599378,3,Follow Tomorrow (for future mix rearrange ver.),187000,HHH×MM×ST,Sakura Luminance,2012,Japanese
5518,2868,1,4,80868-A00,4,004-Like Heaven,4m 13sec,Endanger,Addicted to the Masses (2004),null,Eng.
5519,938,5,4,224256-A024,1,001-Left Outside Alone,3m 56sec,Anastacia,Women That Move You (disc 1) (2006),null,Eng.
5520,2869,1,5,11559286,3,Nasty Girls (Sonic Conditionin mix),,"TWA feat. Lady JoJo, Queen of the GoGo",Nasty Girls,1995,English
5521,1981,5,3,1813797MB-01,9,Odcizení - Bingriwingri,4 .872,Bratři Orffové,,'05,Czech
5522,8639,2,2,MBox36636315-HH,1,Siaosi - If You eWre Mine,201,,If You Were Mine, 12,English
5523,2870,1,2,MBox490328-HH,20,Funeral Dress - Lady Di's After Party,135,,Party Political Bullshit,00,English
5524,2871,1,5,6454345,7,"Cembalokonzerte in B-Dur, H. 429: I. Allegro di molto",487000,Carl Philipp EmanuelB ach,"The Complete Keyboard Concertos, Volume 6 (Concerto Armonico feat. conductor: Péter Szüts, tangent piano: Miklós Spányi)",1998,German
5525,1825,3,5,13989301,3,砂漠,,人生,顔として…,1988,Japanese
5526,5006,2,4,95178-A021,8,008-Mazurka-Choro,2m 11sec,Manuel Barrueco,Favorites for Classical Guitar (unknown),null,Ita.
5527,3754,5,2,MBox24292418-HH,49,Phil Garrod & Reed Hays - Prelude to Victory E,20,,"Broadcast Sports, Volume 1",,English
5528,2872,1,1,WoM28735628,006,Klaviersonate N°2 A-Dur op. 2: II. Largo Appassionato (Die Klaviersonaten),07:02,LudwigvanBeethoven,Klaviersonaten,,
5529,2873,1,4,88758-A035,5,005-Marie Chantal (2 ),0m 56sec,Les Prout,Prout qui chantent (unknown),null,Fre.
5530,797,3,2,MBox18325625-HH,9,Blue Birds Refuse to Fly - Monographic,276,,Xenomorph Angel,,English
5531,2874,1,4,177551-A020,3,003-Island of the Foods,9m 24sec,Explanetary,In On the Deal (2001),null,Eng.
5532,2379,2,2,MBox25837925-HH,5,Melanie Thornton - Wonderful Dream (Holidays Are Coming) (radio version),232,,Bravo Hits 36,02,English
5533,4853,3,5,8927078,46,[untitled],5373,L.S.U.,Bring It Down Now,1995,English
5534,2875,1,4,198123-A027,14,014-Sett of Ayres in D: Corant,1m 52sec,John Weldon,The London Collection: A Choice Collection / Held by the Ears (1995),null,Eng.
5535,2876,1,5,8104827,4,Crumb,,Youngman & Landstrumm,Shot at Dawn E.P.,2002,English
5536,2877,1,4,79582-A027,11,011-Stay,3m 21sec,Secret Agent 8,Start.Action.Stop (unknown),null,Eng.
5537,2878,1,5,6291316,13,Le premier rendez-vous,198000,Danielle Darrieux,"Les grandes dames de la Chanson, Volume 2",2004,French
5538,1889,2,4,91198-A049,8,008-By the Toll of the Bell,4m 33sec,Sahg,II (2008),null,Eng.
5539,2879,1,3,7165324MB-01,17,Psaume 89 -V CDSignes 41,0.802,Signes,,'07,French
5540,2880,1,5,11838896,13,DanceMusic,161000,The Mountain Goats,"2004-10-18: The Earl, Atlanta, GA, USA",,English
5541,2881,1,5,9732672,4,In the Name of Love (Hot Trax mix),439000,Sharon Redd,Can You Handle It,1989,English
5542,7849,2,2,MBox11145423-HH,7,A-Man - Passion (Passion radio mix),252,,Hi-Nrg Summer Edition,,English
5543,2882,1,5,13577368,7,La lpaya,229000,Monsieur Periné,Hecho a mano,2012,Spanish
5544,13,2,1,WoM24638942,016,Gimme Dat (remix) (RYEot powRR),04:23,Rye Rye,RYEot powRR,2011,
5545,2883,1,2,MBox37647617-HH,B6,Broadcast - The Equestrian Library,54,,Berberian Sound Studio,13,English
5546,5432,2,1,WoM9113538,004,Flyt (Svarta fotspår),03:03,Elektrubadur,Svarta fotspår,2003,
5547,6555,2,1,WoM139199,006,Wabash Cannonball (King of Skiffle),02:01,Lonnie Donegan,King of Skiffle,,
5548,2884,1,5,3144081,2,Another Generation,208333,Marshall Law,Power Game,,English
5549,2885,1,5,4326387,10,Hoy sin ti,217827,Mocedades,Amor de Hombre,1982,Spanish
5550,4503,2,5,2083593,12,Pavana Lachrimae,362948,John Dowland,"Complete Lute Works, Volume 1 (Paul O'Dette)",1997,En glish
5551,2886,1,4,124418-A058,2,002-O Simone?,3m 37sec,Giacomo Puccini,Gianni Schicchi (unknown),null,Ita.
5552,3562,2,3,53546418MB-01,11,Te tiembla el pulso - Han comenzado,,HC,,'07,Spanish
5553,2887,1,2,MBox27105420-HH,21,Watt White - Look Sharp (full mix),60,,"Alt Rock, Volume 3",,English
5554,2888,1,1,WoM596947,007,Rock the Shack (Get Ready),04:12,New,Get Ready,2001,
5555,2889,1,1,WoM212871,008,"A Groovy Kind of Love (Gold & Platinum, Volume 6)",03:30,Phil Collins,"Gold & Platinum, Volum e6",1989,
5556,2890,1,1,WoM11587722,009,Your Own Fault (Gory Gory Halleluja!),01:55,S.M.E.S.,Gory Gory Halleluja!,2006,
5557,2891,1,1,WoM2115486,014,Erottamattomat (Salainen paikka),00:00,Köpi Koski & Projekti,Salainen paikka,2007,
5558,2892,1,3,460463MB-01,4,Angloise in F F - ABRSM 2003-2004: Paino Grade 3,0.651,Johann Christoph Friedrich Bach,,,
5559,7037,3,1,WoM15361649,003,Hello My Little Fish (The First Artefacts),03:16,Me and My Droid,The First Artefacts,2006,
5560,2893,1,2,MBox42029721-HH,2,"7 Zwerge - Steh' auf, wenn du auf Zwerge stehst",239,,Kindergarten Hitparade - Tanzen und Bewegen,,German
5561,2894,1,4,234000-A012,A3,0A3-Strag di ostacoli,1m 53sec,Cripple Bastards,Nero in metastasi (2014),null,Ita.
5562,2895,1,3,3057285MB-01,8,Superman on Ice - Live in Japan,6.463,13 & God,,'08,nEglish
5563,2954,3,4,86287-A065,1,001-Star Machine (Si Begg remix),unknown,Stewart Walker,Artificial Music for Artificial People EP (1998),null,Eng.
5564,8070,2,4,144529-A022,8,008-White ChristBmas,2m 58sec,Bing Crosby,The Definitive Collection (2006),null,Eng.
5565,2896,1,3,27788722MB-01,10,Minen tykkää maksaloorasta - Kyröjoki tuluvii,4.817,Rehupiikles,,'96,null
5566,2897,1,1,WoM12170011,002,I'm Free (Pleasure),03:59,Soup Dragons,Pleasure,1992,
5567,7585,2,4,190205-A06,13,God Goddess,1m 6sec,Jarboe,Indemnity 2 (2012),null,Eng.
5568,6023,3,2,MBox15117626-HH,5,Vrisak generacije - Ne veruj,null,,Beer Drinkers Revenge,93,Serbian
5569,2898,1,1,WoM6871512,001,"Inside the Dream Syndicate, Volume I: Day of Naigara (1965)",null,"John Cale, Tony Conrad, Angus MacLise, La Monte Young and Marian Zazeela","Inside the Dream Syndicate, Volume I: Day of Niagara (1965)",2000,
5570,9418,3,1,WoM7612439,010,"Tonight, Twice (There's a Song in There)",05:18,Mark Dufrresne,There's a Song in There,,
5571,2899,1,4,188146-A022,11,011-C inderella Man,4m 39sec,Eminevm,Recovery (2010),null,Eng.
5572,2900,1,4,5993-A031,3,003-M.I.A.,3m 56sec,7 Year Bitch,Viva Zapata! (1994),null,Eng.
5573,2545,4,4,123758-A00,4,004-Shotput,0m 49sec,Elliott Sharp & Zeena Parkins,Psycho-Acoustic (1994),null,Eng.
5574,2901,1,4,45224-A052,10,010-simplexity,6m 10sec,"Richman, Haslip, Gottlieb",Trio Loco (unknown),null,unknown
5575,9967,3,1,WoM10047011,0A5,Rapist (Stark Raving Mad),01:05,Stark Raving Mad,Stark Raving Mad,1984,
5576,2902,1,4,132343-A048,3,003-,3m 8sec, , (2003),null,Rus.
5577,2903,1,5,11304126,20,"Trio for Baryton, Viola, and Cello No. 66 in A major: II. Allegro di molto",209000,jJoseph Haydn,Haydn Edition,2008,English
5578,2904,1,2,MBox22946117-HH,5,Herwig Mitteregger - Tanz mich in den Schlaf,215,,Jedesmal,87,German
5579,2905,1,5,12294692,3,ミドリーヌ,193000,ビリー・バンバン,ビリー・バンバン ツイン・ベスト,2003,Japanese
5580,6300,4,3,27512815MB-01,15,Suspicious Minds - Mastermix Classic Cuts 96: Rare and Collectables,3.867,Candi Staton,,,English
5581,1230,2,3,3592340MB-01,10,"One We Miss - Juice, Volume 58",4.95,Lone Catalysts,,'05,[Multiple languages]
5582,2906,1,3,62469619MB-01,6,"Radancer - Hits of the 70's, Volume 2",3.817,Marmalade,,,English
5583,3458,2,1,WoM27490911,009,Gift_of_Love_(Jingles_3),02:28,Voice Male,Jingles 3,2012,
5584,2907,1,1,WoM17422818,010,Suite e-moll BWV 996: Bourrée (Best of Gitarre),01:36,Johann Sebastian Bach,Best of Gitarre,2007,
5585,7419,3,2,MBox16177310-HH,15,Allan Edwall - Möss och människor,114,,Allans allra bästa,5,Swedish
5586,6622,3,1,WoM4593035,012,Kiss Us Goodbye (The Tracy Chapter),06:30,Destiny,The Tracy Chapter,2004,
5587,2908,1,4,56629-A026,9,009-Cup of Life (Spanglish radio edit),4m 39sec,Ricky Martin,Ricky Martin (unknown),null,Eng.
5588,2909,1,5,4582915,16,Käptn Coma,210666,Schandmaul,Mit Leib und Seele,2006,Schandmaul
5589,3341,3,2,MBox22798125-HH,10,Fall Out Boy - I'm Like a Lawyer With the Way I'm Always Trying to Get You Off (Me + You),215,,Now That's What I Call Music 26,08,English
5590,2910,1,2,MBox36929126-HH,3,Max Mutzke - Wake Me Up In Vegas,224,,Home Work Soul,10,English
5591,8867,2,4,95093-A033,1,001-LOVEPOTION #9,2m 48sec,BEAT CRUSADERS,LOVEPOTION #9 (2005),null,Eng.
5592,2546,4,5,4438059,8,Born Again,161000,Babe the Blue Ox,Box,,English
5593,2556,2,2,MBox23239130-HH,5,Claude François - Soudain il est trop tard,195,,Le lundi au soleil,98,French
5594,2911,1,4,50490-A067,11,011-Assembly Line,2m 49sec,The Seatsniffers,(unknown),null,Eng.
5595,3287,3,5,13680457,24,Ota pois,179440,Hanne,Kulkurin kulta,2012,Finnish
5596,2912,1,1,WoM15816127,011,Vaste vriend (Alles over tref),00:00,Overtref,Alles over tref,2007,
5597,8493,4,3,5691121MB-01,8,I’ll Be Damned - ANX,,Dark Time Sunshine feat. Poeina Suddarth,,,English
5598,2913,1,5,6676045,9,PersonifTikant,,Abús,A can pistraus,2006,Catalan
5599,7289,5,2,MBox19805621-HH,13,Shadrane - Dance of Solitude,247,,Temporal,08,English
5600,7954,3,2,MBox24553710-HH,7,Steve Quinzi - Road to Glory (instrumental),175,,Celtic Memories Sampler,10,English
5601,2914,1,4,141284-A024,9,009-Brown Britches Boogie (full mix),1m 42sec,Jonathan Fly,"Soggy Mountain Music, Vol. II (unknown)",null,Eng.
5602,2915,1,1,WoM4583118,002,"Not Here, Not Near (Dim Lit)",06:51,Polar Bear,Dim Lit,2003,
5603,2916,1,2,MBox2832838-HH,2,Glamour of the Kill - World's End,null,,The Summoning,11,English
5604,1796,2,1,WoM31734032,005,"Gonna Change My Way of Thinking (The Complete Album Collection, Volume One)",00:00,Bob Dylan,"The Complete Album Collection, Volume One",2013,
5605,8197,2,5,7394484,2,Training,96000,大谷智哉,SONIC RUSH ADVENTURE Original Sound Track,2007,English
5606,2917,1,3,4545334MB-01,14,"Molestado - City of God Remixed, Volum e1",5.967,Antonio Pinto & Ed Cortês,,'03,Portuguese
5607,2918,1,3,5860944MB-01,5,Rise Of Arabia - Moongod,4.762,Aeternam,,'12,English
5608,592,3,3,34292318MB-01,5,Allure - NL,7.198,Wax,,null,[Multiple languages]
5609,2919,1,3,29808512MB-01,18,El bondi - 20 años no es nada,0.667,2 Minutos,,'07,Spanish
5610,1355,3,5,12248049,2,Technology,,The Whigs,"2008-03-19: Opera House ,Toronto, ON, Canada",,English
5611,2353,2,1,WoM5644442,005,Recycled Air (Give Up),04:31,Postal Service,Give Up,2003,
5612,2920,1,5,16409504,8,Sleepless,372600,The Crimson Projekct,Live in Tokyo,unk.,[Multiple languages]
5613,2921,1,5,8572642,102,Blue Jeans,9000,Jay Glover,TV Addict,,English
5614,2922,1,5,9333684,21,On Common Ground (narration),60000,Chris Horvath,"Pop / Retail, Volume 1",,English
5615,8350,3,4,26585-A064,2,002-Telegrafo de Amor,2m 33sec,Rogelio Martinez,El Bandolero (unknown),null,unkknown
5616,2923,1,5,15182681,14,M e & You (original mix),235000,Nero,Forza Horizon Soundtrack,2012,English
5617,2924,1,4,192201-A046,1,001-Intro,0m 30sec,Guy Guy Smiley,Alkaline (1999),null,Eng.
5618,2020,2,4,59332-A046,13,"013-Aria: Ach, meinn Sinn",3m 6sec,Johann Sebastian Bach,Johannes Passion (1964),null,Ger.
5619,9376,4,4,180700-A045,1,unk.,4m 42sec,Voicians,OThe Inner Frame (2008),The Inner Frame (2008),unknown
5620,2925,1,1,WoM12097940,null,Samone (Finissimo),03:13,Alamedadosoulna,Finissimo,2007,
5621,3314,3,5,725039,5,Smother,225184,Pornographic Monkey,The Pornographic Monkey,,Engllish
5622,9916,2,5,7917751,4,Nobody Understands Me but My Guitar,310000,Bad News Blues Band,Knockout,,tEnglish
5623,3749,2,4,137218-A022,4,004-Third and Seneca,7m 14sec,Sun Kil Moon,Admiral Fell Promises (2010),null,Eng.
5624,2926,1,3,505343MB-01,22,All - [silence] I Can Say,0.083,DRavid Crowder Band,,'98,English
5625,2927,1,1,WoM10822547,004,Homebass (The Outside Agency),04:58,Outside Agency,The Outside Agency,1996,
5626,9448,3,5,11649885,2,Maria,159373,Alfie Boe,Alfie,2011,English
5627,2928,1,5,1639221,1,Esoteric,551026,Esoteric,Esoteric Emotions: The Death of Ignorance,2000,English
5628,7454,3,2,MBox31615518-HH,2,Motörhead - Dead Men Tell No Tales (live),179,,From the Vaults,90,English
5629,1104,2,1,WoM28200317,007,Arrivals (This Is How the Wind Shifts),01:16,Silverstein,This Is How the Wind Shifts,2013,
5630,2929,1,2,MBox4098841-HH,12,Anthony Red Rose - Coconut Water,236,,My Nme Is Red Rose,,English
5631,2930,1,5,10320304,13,BAPDLMH,,Gumy Kastellano,El rey mono,2010,SpanCish
5632,2931,1,1,WoM7410829,011,Acts 27 (ESV The New Testament on CD),06:31,Marquis Laughlin,ESV The New Testament on CD,,
5633,2932,1,4,141787-A039,3,003-He Is My Everything,2m 42sec,Elvis Presley,"Pure Diamonds, Volume 3: Gospel Greats and Stax (unknown)",null,Eng.
5634,2933,1,5,15798131,15,Voghera,166773,,Non classificato,2004,Italian
5635,5769,2,4,24712-A069,1,001-Subhuman,4m 36sec,Garbage,B-Sides (unknown),null,Eng.
5636,7954,4,3,39499412MB-01,7,Road to Glory (instrumental) - Celtic Memories Sampler,2.917,Steve Quinzi,,'10,English
5637,2934,1,3,,22,"Up With the Sun - Promos, Volume 8",1.167,Steve Glotzer,,,English
5638,6826,3,4,130801-A018,1,001-L a Bamba,2m 50sec,Los Lobos,Hit Connection 87 (1987),null,Eng.
5639,2935,1,3,2448780MB-01,14,Chicken Strut - Blues Story,2.717,Meters,,'01,English
5640,2936,1,3,15944813MB-01,2,Abomination's Child - Paradise of Eternal Darkness,,Torment,,,English
5641,6635,2,5,9358249,22,"Concierto en Re menor para 2 Violines, Violoncello, Cuerdas y Continuo, Op. 3 Nº 11, RV 565: III. Allegrgo",159360,Antonio Vivaldi,"Violin Concertos From ""L'estro Armonico"", Op. 3 (Academy of St. Martin-in-the-Fields feat. conductor: Neville Marriner, violin: Alan Loveday, Iona Brown, Carmel Kaine, Roy Gillard)",,Spanish
5642,2937,1,5,7669000,8,Accept Me,155999,The Harvey Averne Dozen,The Harvey vAerne Dozen,1968,English
5643,2938,1,2,MBox44496931-HH,9,Disturbati Dalla CUiete - Lancette asfalto sguardi,253,,Shh!,14,Italin
5644,2939,1,4,27027-A046,5,005- ,3m 36sec, ,   (unknown),null,Russ.
5645,2940,1,4,5553-A01,9,"Concerto in F major, Op. 8 No. 3, RV 293 ""Autumn"": III. Allegro",3m 40sec,Antonio Vivaldi,The Four Seasons: Concerti (unknown),null,EngA.
5646,2941,1,4,14401-A026,1,001-Main Title (Alice in Wonderland),2m 33sec,Sammy Fain,Walt Disney's Alice in Wonderland (2001),null,Eng.
5647,9482,3,5,9031796,4,Let U Go (Tocadisco Remix),255000,AT,Electronic House Sensation Vol. 1,,[Multiple languages]
5648,9935,2,5,2155999,17,Ugly,264827,Bubba Sparxxx,Deliverance,2003,English
5649,2107,2,5,6791778,2,Para,436000,New Sector Movements,No Tricks EP,2000,English
5650,2942,1,5,11392147,5,CENTER OF THE SUN (SOLARSTONE'S CHILLED-OUT REMIX),598000,Conjure One,Center of the Sun,2003,English
5651,8253,3,1,WoM1377608,009,"Adventum Rebellionus (F**K 'em All, Volume 2)",00:00,Heritech,"F**K 'em All, Volume 2",2008,
5652,2943,1,1,WoM29652331,018,Born to Be Bad (Mona Lisa),00:00,Carl Mann,Mona Lisa,,
5653,2944,1,1,WoM1675213,001,Highschool Girls (Plymouth Rock),02:50,Masons,Plymouthh Rock,,
5654,2945,1,3,3756205MB-01,72,"Tuba and Bassoon (b) - Comedy & Animation, Volume II",0.1,Dick Walter,,,English
5655,2946,1,5,,4,Stuck in a Moment You Can't Get Out Of,274000,U2,Blackball,2003,English
5656,2947,1,4,101600-A057,9,009-I Will Always Love You,3m 0sec,Kenny Rogers,Songs of Love (disc 2) (unknown),null,Eng.
5657,9006,2,3,2284247MB-01,16,"The Hole in Willie's Guitar - Promo Only: Country Radio, May 2006",3.25,Memarie,,'06,English
